Date,Year,Month,Day,Weekday,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-09-16,2014,9,16,Tuesday,183.9,184.56,182.8,184.04,2137600.0,173.68,0.0003259568996920592,170.09428571428575,164.18499999999997
2014-09-17,2014,9,17,Wednesday,183.82,185.77,183.46,184.82,2820300.0,174.42,0.004238518836875649,170.5671428571429,164.57039999999998
2014-09-18,2014,9,18,Thursday,185.83,188.43,185.5,187.89,3566600.0,177.32,0.016610708002854357,171.25785714285718,165.01839999999996
2014-09-19,2014,9,19,Friday,188.26,188.58,185.88,186.2,5442900.0,175.72,-0.008994605456914884,171.7357142857143,165.45779999999996
2014-09-22,2014,9,22,Monday,186.0,186.95,185.1,185.29,1826100.0,174.86,-0.004887240994332354,172.10785714285717,165.85399999999998
2014-09-23,2014,9,23,Tuesday,184.57,186.86,184.57,185.09,1977600.0,174.67,-0.001079597449420433,172.47785714285718,166.20499999999996
2014-09-24,2014,9,24,Wednesday,185.26,188.12,184.47,187.81,2834200.0,177.24,0.014695668163797082,172.99857142857147,166.56659999999997
2014-09-25,2014,9,25,Thursday,187.46,187.8,183.46,184.09,3074600.0,173.73,-0.0198071865425391,173.2914285714286,166.83359999999996
2014-09-26,2014,9,26,Friday,184.75,185.6,183.22,185.12,1932500.0,174.7,0.005594957634677211,173.62928571428574,167.12619999999998
2014-09-29,2014,9,29,Monday,183.11,184.56,182.2,183.83,1745400.0,173.49,-0.006968366917450286,174.06285714285715,167.3696
2014-09-30,2014,9,30,Tuesday,184.41,184.99,182.68,183.57,2037700.0,173.24,-0.0014143067328740155,174.31214285714285,167.6032
2014-10-01,2014,10,1,Wednesday,183.19,183.85,180.33,180.7,4196300.0,170.53,-0.015634457479348995,174.29214285714286,167.72060000000002
2014-10-02,2014,10,2,Thursday,180.6,183.43,180.59,182.88,2782600.0,172.59,0.012064306340860975,174.27285714285716,167.8454
2014-10-03,2014,10,3,Friday,184.61,188.54,184.57,188.07,3271400.0,177.49,0.02837958113030825,174.54857142857145,168.0786
2014-10-06,2014,10,6,Monday,189.07,189.5,187.15,187.48,1934800.0,176.93,-0.003137614161492941,174.7807142857143,168.3168
2014-10-07,2014,10,7,Tuesday,186.56,186.56,183.62,183.8,2927100.0,173.46,-0.019628690038491547,174.71214285714288,168.47519999999997
2014-10-08,2014,10,8,Wednesday,184.03,187.0,182.15,186.64,3154500.0,176.14,0.01545153660309695,174.62785714285715,168.69499999999996
2014-10-09,2014,10,9,Thursday,185.82,186.17,180.75,181.27,4892900.0,171.07,-0.028771878454378785,174.2957142857143,168.80919999999995
2014-10-10,2014,10,10,Friday,181.57,182.95,180.06,180.38,4405600.0,170.23,-0.00491000202743741,173.965,168.96099999999996
2014-10-13,2014,10,13,Monday,181.0,183.19,178.5,178.77,3436500.0,168.71,-0.008925480564531685,173.53928571428574,169.13179999999994
2014-10-14,2014,10,14,Tuesday,179.48,181.79,177.77,178.7,3557200.0,168.64,-0.0003913508124033793,172.92499999999998,169.27399999999992
