Date,Year,Month,Day,Weekday,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-05-22,2015,5,22,Friday,26.649999618530273,25.75,26.100000381469727,519300,26.100000381469727,0.019531249708961695,25.827857153756277,25.443157798365544
2015-05-26,2015,5,26,Tuesday,26.75,25.559999465942383,26.420000076293945,332500,26.420000076293945,0.012260524526712668,25.89928572518485,25.468205036261143
2015-05-27,2015,5,27,Wednesday,27.209999084472656,26.389999389648438,26.979999542236328,348900,26.979999542236328,0.021196043312840862,26.073571341378347,25.505999898910524
2015-05-28,2015,5,28,Thursday,27.200000762939453,26.6299991607666,26.65999984741211,257500,26.65999984741211,-0.011860626399317398,26.205714225769043,25.534146239117877
2015-05-29,2015,5,29,Friday,27.06999969482422,26.334999084472656,26.93000030517578,276800,26.93000030517578,0.01012754911136593,26.352142878941127,25.567380859738304
2015-06-01,2015,6,1,Monday,27.479999542236328,26.860000610351562,27.09000015258789,281200,27.09000015258789,0.005941323639025775,26.452857153756277,25.602790610734807
2015-06-02,2015,6,2,Tuesday,28.149999618530273,27.05900001525879,27.6299991607666,429000,27.6299991607666,0.019933518092916103,26.5142856325422,25.648863532326438
2015-06-03,2015,6,3,Wednesday,29.059999465942383,27.80500030517578,28.90999984741211,493500,28.90999984741211,0.04632648300847775,26.686428478785924,25.72133322821723
2015-06-04,2015,6,4,Thursday,29.43000030517578,28.200000762939453,28.920000076293945,576200,28.920000076293945,0.0003459089911663771,26.878571374075754,25.790869464044984
2015-06-05,2015,6,5,Friday,29.115999221801758,28.309999465942383,28.690000534057617,387000,28.690000534057617,-0.00795295787100847,27.034285681588308,25.852553103832488
2015-06-08,2015,6,8,Monday,29.780000686645508,28.6299991607666,29.100000381469727,708700,29.100000381469727,0.014290688036948662,27.239285741533553,25.920208255449932
2015-06-09,2015,6,9,Tuesday,29.6299991607666,28.639999389648438,29.5,550900,29.5,0.01374569117823743,27.493571417672293,25.993265229828502
2015-06-10,2015,6,10,Wednesday,30.25,29.18000030517578,30.15999984741211,469200,30.15999984741211,0.0223728761834614,27.7635714667184,26.076599922180176
2015-06-11,2015,6,11,Thursday,30.860000610351562,29.649999618530273,29.690000534057617,488500,29.690000534057617,-0.015583531688738383,28.055714334760392,26.270399932861327
2015-06-12,2015,6,12,Friday,29.940000534057617,28.729999542236328,29.280000686645508,388500,29.280000686645508,-0.013809358034257868,28.282857213701522,26.332999954223634
2015-06-15,2015,6,15,Monday,29.850000381469727,29.0,29.40999984741211,379000,29.40999984741211,0.004439861943920542,28.496428625924246,26.391199951171874
2015-06-16,2015,6,16,Tuesday,30.709999084472656,29.190000534057617,30.459999084472656,635400,30.459999084472656,0.03570211637226306,28.74500002179827,26.484399948120117
2015-06-17,2015,6,17,Wednesday,30.639999389648438,30.200000762939453,30.540000915527344,645500,30.540000915527344,0.0026264554648482985,29.022142955235072,26.5903999710083
2015-06-18,2015,6,18,Thursday,31.75,30.68000030517578,31.350000381469727,890600,31.350000381469727,0.026522575037990936,29.337857246398926,26.71439998626709
2015-06-19,2015,6,19,Friday,33.0,31.18899917602539,31.799999237060547,2050100,31.799999237060547,0.01435403030670468,29.674285752432688,26.823999977111818
2015-06-22,2015,6,22,Monday,32.099998474121094,30.790000915527344,31.360000610351562,502200,31.360000610351562,-0.013836435134130354,29.94071442740304,26.9453999710083
2015-06-23,2015,6,23,Tuesday,32.029998779296875,31.25,31.81999969482422,471100,31.81999969482422,0.014668337867340897,30.14857155936105,27.074399948120117
2015-06-24,2015,6,24,Wednesday,32.060001373291016,31.25,31.459999084472656,423500,31.459999084472656,-0.011313658510503366,30.33000005994524,27.18759994506836
2015-06-25,2015,6,25,Thursday,31.780000686645508,30.670000076293945,31.010000228881836,432400,31.010000228881836,-0.014303841979859455,30.495714323861257,27.305399932861327
2015-06-26,2015,6,26,Friday,30.959999084472656,29.3700008392334,29.540000915527344,1697500,29.540000915527344,-0.04740404071282067,30.527142933436803,27.400599937438965
2015-06-29,2015,6,29,Monday,29.5,27.920000076293945,28.18000030517578,824000,28.18000030517578,-0.046039288023064895,30.432857240949357,27.46099994659424
2015-06-30,2015,6,30,Tuesday,28.920000076293945,27.649999618530273,28.190000534057617,666000,28.190000534057617,0.00035486972226883573,30.29214300428118,27.521999969482422
2015-07-01,2015,7,1,Wednesday,28.899999618530273,28.170000076293945,28.290000915527344,1241800,28.290000915527344,0.0035473706837612085,30.192143031529017,27.59219997406006
2015-07-02,2015,7,2,Thursday,28.290000915527344,26.889999389648438,27.139999389648438,1284300,27.139999389648438,-0.040650459125567306,30.039285796029226,27.639599952697754
2015-07-06,2015,7,6,Monday,27.799999237060547,26.389999389648438,27.270000457763672,1009200,27.270000457763672,0.00479001735588902,29.886428696768625,27.683999977111817
2015-07-07,2015,7,7,Tuesday,27.469999313354492,26.719999313354492,26.829999923706055,1233000,26.829999923706055,-0.016134966141239993,29.627143042428152,27.707999992370606
2015-07-08,2015,7,8,Wednesday,26.7549991607666,25.729999542236328,26.079999923706055,1290500,26.079999923706055,-0.027953783158132905,29.308571543012345,27.706399993896483
2015-07-09,2015,7,9,Thursday,26.81999969482422,26.18000030517578,26.610000610351562,636400,26.610000610351562,0.02032211227745262,28.97000013078962,27.73560001373291
2015-07-10,2015,7,10,Friday,27.200000762939453,26.700000762939453,26.979999542236328,539900,26.979999542236328,0.01390450670417609,28.625714438302175,27.777600021362304
2015-07-13,2015,7,13,Monday,27.510000228881836,26.260000228881836,26.649999618530273,387100,26.649999618530273,-0.01223127981115979,28.289285796029226,27.809200019836425
2015-07-14,2015,7,14,Tuesday,27.0,26.440000534057617,26.950000762939453,355100,26.950000762939453,0.011257078750597227,27.94142872946603,27.82900005340576
2015-07-15,2015,7,15,Wednesday,26.96500015258789,26.110000610351562,26.43000030517578,320000,26.43000030517578,-0.01929500716299626,27.582143102373397,27.838000068664552
