Date,Year,Month,Day,Weekday,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-06-25,2014,6,25,Wednesday,35.57,37.79,32.87,35.48,1622400,35.48,0.001976834089970625,35.79642857142857,33.506600000000006
2014-06-26,2014,6,26,Thursday,35.58,35.92,34.2,34.65,377100,34.65,-0.023393405497916353,35.58214285714286,33.49960000000001
2014-06-27,2014,6,27,Friday,34.65,36.43,33.23,34.2,1444300,34.2,-0.012987034433558753,35.23214285714287,33.433200000000014
2014-06-30,2014,6,30,Monday,34.31,35.54,33.63,35.41,379000,35.41,0.03538008939999382,35.04642857142858,33.42240000000001
2014-07-01,2014,7,1,Tuesday,35.8,36.47,33.57,33.82,463700,33.82,-0.04490257439817791,34.92785714285715,33.43500000000001
2014-07-02,2014,7,2,Wednesday,33.9,34.71,33.71,33.77,356400,33.77,-0.0014783925934865882,34.93642857142858,33.45320000000001
2014-07-03,2014,7,3,Thursday,33.77,34.19,33.71,34.1,83800,34.1,0.009771928098436078,34.8007142857143,33.48740000000001
2014-07-07,2014,7,7,Monday,34.32,34.46,32.58,32.7,269500,32.7,-0.04105565319142512,34.63714285714287,33.49380000000001
2014-07-08,2014,7,8,Tuesday,32.61,32.95,30.88,31.48,896900,31.48,-0.0373089049614278,34.3307142857143,33.498200000000004
2014-07-09,2014,7,9,Wednesday,31.6,32.29,30.97,31.87,203300,31.87,0.012388859678152508,34.107857142857156,33.482800000000005
2014-07-10,2014,7,10,Thursday,31.01,32.25,30.62,31.89,244500,31.89,0.0006275039186827147,33.92500000000002,33.464800000000004
2014-07-11,2014,7,11,Friday,31.92,32.96,31.74,32.86,216100,32.86,0.03041709749978838,33.7757142857143,33.503
2014-07-14,2014,7,14,Monday,33.0,33.68,32.73,33.53,376000,33.53,0.020389475243474342,33.655000000000015,33.5534
2014-07-15,2014,7,15,Tuesday,33.4,33.68,32.4,32.44,178900,32.44,-0.03250820734478854,33.44285714285716,33.5812
2014-07-16,2014,7,16,Wednesday,32.79,33.18,32.29,32.96,207500,32.96,0.01602960788461738,33.26285714285715,33.607800000000005
2014-07-17,2014,7,17,Thursday,32.81,33.32,31.67,31.88,257400,31.88,-0.03276698888668472,33.06500000000001,33.6058
2014-07-18,2014,7,18,Friday,31.96,32.56,31.64,32.13,183100,32.13,0.007841967187260712,32.91714285714287,33.634600000000006
2014-07-21,2014,7,21,Monday,31.89,32.97,31.89,32.78,282400,32.78,0.020230242439259527,32.72928571428572,33.662600000000005
2014-07-22,2014,7,22,Tuesday,33.0,33.0,32.15,32.42,371800,32.42,-0.0109823253129262,32.62928571428573,33.686600000000006
