Date,Year,Month,Day,Weekday,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-05-29,2014,5,29,Thursday,161.14,162.0,159.62,160.74,1779200.0,150.62,-0.002791536326947619,148.59642857142853,149.33020000000005
2014-05-30,2014,5,30,Friday,160.42,160.64,159.16,159.81,2206300.0,149.75,-0.005785818054353964,148.8071428571428,149.18420000000003
2014-06-02,2014,6,2,Monday,159.78,160.2,157.91,160.03,2162500.0,149.95,0.0013765381609005534,148.87571428571422,149.02280000000002
2014-06-03,2014,6,3,Tuesday,159.85,161.93,159.28,161.8,2408600.0,151.61,0.011060664124214581,149.0135714285714,148.937
2014-06-04,2014,6,4,Wednesday,161.44,162.73,160.86,162.39,2098400.0,152.16,0.003646152146034476,149.24642857142854,148.88500000000002
2014-06-05,2014,6,5,Thursday,162.72,163.43,161.56,162.58,1859600.0,152.34,0.0011700548586057735,149.67928571428567,148.88280000000003
2014-06-06,2014,6,6,Friday,162.9,166.26,162.9,166.19,3478100.0,155.72,0.022204560364989412,150.36785714285708,148.97660000000005
2014-06-09,2014,6,9,Monday,166.04,166.86,165.64,166.0,2377500.0,155.55,-0.0011432029495360707,150.9614285714285,149.05660000000003
2014-06-10,2014,6,10,Tuesday,165.86,167.26,165.48,166.36,1684500.0,155.88,0.0021686562610667703,151.6664285714285,149.14300000000003
2014-06-11,2014,6,11,Wednesday,165.09,166.16,164.69,165.43,2004100.0,155.01,-0.0055902631730671,152.10928571428568,149.18300000000002
2014-06-12,2014,6,12,Thursday,165.76,166.65,165.02,165.96,2309900.0,155.51,0.0032036052839357065,152.55499999999992,149.19440000000003
2014-06-13,2014,6,13,Friday,166.17,167.07,165.42,165.89,1761100.0,155.44,-0.000421531383482443,152.97499999999994,149.17920000000004
2014-06-16,2014,6,16,Monday,165.52,166.53,164.45,165.85,1756400.0,155.41,-0.00024099067881433456,153.2849999999999,149.18540000000002
2014-06-17,2014,6,17,Tuesday,165.64,168.75,165.45,168.22,2450000.0,157.63,0.01428962633120534,153.75571428571422,149.28920000000005
2014-06-18,2014,6,18,Wednesday,167.89,170.1,167.29,169.86,2873200.0,159.16,0.009749088981467535,154.3657142857142,149.51100000000005
2014-06-19,2014,6,19,Thursday,170.0,170.16,168.93,169.73,2306900.0,159.04,-0.0007654176923845846,155.02928571428563,149.76780000000005
2014-06-20,2014,6,20,Friday,170.32,171.08,169.42,169.84,4688200.0,159.14,0.0006482826984601786,155.68571428571423,149.99660000000006
2014-06-23,2014,6,23,Monday,170.18,170.62,169.21,170.24,1738500.0,159.52,0.002355106039217514,156.2507142857142,150.27380000000005
2014-06-24,2014,6,24,Tuesday,169.55,170.55,167.95,168.23,1608000.0,157.64,-0.011806881838013705,156.64214285714277,150.57420000000008
2014-06-25,2014,6,25,Wednesday,167.82,169.02,167.4,168.38,1601200.0,157.78,0.0008917984165810466,157.0307142857142,150.83980000000008
2014-06-26,2014,6,26,Thursday,167.0,168.11,166.37,168.01,2131200.0,157.43,-0.002197287182049812,157.15285714285707,151.09500000000008
2014-06-27,2014,6,27,Friday,167.25,167.65,166.37,166.78,3111200.0,156.28,-0.007321002397622678,157.20499999999993,151.28420000000008
2014-06-30,2014,6,30,Monday,166.87,167.91,166.37,167.44,1885200.0,156.9,0.003957030864782052,157.27785714285707,151.48180000000005
2014-07-01,2014,7,1,Tuesday,166.35,168.27,166.06,166.81,2947800.0,156.31,-0.0037620971267412484,157.3707142857142,151.66080000000008
2014-07-02,2014,7,2,Wednesday,167.0,167.81,166.57,166.89,1877600.0,156.38,0.00047922539837985667,157.43285714285705,151.79160000000007
2014-07-03,2014,7,3,Thursday,167.83,169.9,167.72,169.46,1801200.0,158.79,0.015399584896282237,157.67214285714275,151.97080000000008
2014-07-07,2014,7,7,Monday,168.97,168.97,166.9,167.78,1774000.0,157.21,-0.009913854488405427,157.80071428571418,152.11080000000007
2014-07-08,2014,7,8,Tuesday,166.74,166.78,163.73,164.91,2422200.0,154.52,-0.01710588547476466,157.57857142857134,152.24580000000006
2014-07-09,2014,7,9,Wednesday,165.24,165.33,163.63,164.67,1943800.0,154.3,-0.0014554256994269155,157.2314285714285,152.40820000000008
2014-07-10,2014,7,10,Thursday,162.22,163.78,161.53,163.42,2204100.0,153.13,-0.007591032411855214,156.80928571428564,152.51540000000006
2014-07-11,2014,7,11,Friday,163.02,165.14,162.38,164.8,2293300.0,154.42,0.008444677972540005,156.4721428571428,152.61880000000008
2014-07-14,2014,7,14,Monday,167.18,167.72,166.46,167.0,3007700.0,156.48,0.013349467435309181,156.25499999999994,152.75320000000005
2014-07-15,2014,7,15,Tuesday,169.7,170.15,167.15,169.17,4802300.0,158.52,0.012994186993273038,156.3178571428571,152.95620000000005
2014-07-16,2014,7,16,Wednesday,169.2,170.99,169.0,170.47,3295100.0,159.73,0.007684527667370267,156.4571428571428,153.23060000000004
2014-07-17,2014,7,17,Thursday,170.21,171.6,168.92,170.14,3815500.0,159.43,-0.0019357363057928012,156.59999999999994,153.53280000000007
2014-07-18,2014,7,18,Friday,170.41,171.79,169.65,171.47,2558600.0,160.67,0.007817016369668695,156.91357142857137,153.84160000000008
2014-07-21,2014,7,21,Monday,170.17,172.1,170.05,171.72,2227400.0,160.91,0.0014578656319121919,157.1999999999999,154.12000000000006
2014-07-22,2014,7,22,Tuesday,172.38,175.38,172.38,175.02,3849500.0,164.0,0.019217405421726452,157.74928571428563,154.46400000000006
2014-07-23,2014,7,23,Wednesday,175.21,177.22,174.63,176.82,3436100.0,165.68,0.010284637438547684,158.41357142857132,154.79780000000008
2014-07-24,2014,7,24,Thursday,176.8,177.32,175.61,176.26,2012800.0,165.16,-0.003167342262588635,158.86857142857133,155.10740000000007
2014-07-25,2014,7,25,Friday,175.91,176.46,174.72,175.4,2114900.0,164.35,-0.004879007361748622,159.37857142857132,155.4164000000001
2014-07-28,2014,7,28,Monday,175.0,176.46,174.67,175.95,2303400.0,164.87,0.003135516264660909,160.11785714285702,155.78820000000007
2014-07-29,2014,7,29,Tuesday,176.17,177.11,175.45,175.54,3055600.0,164.49,-0.0023300569760754675,160.84571428571417,156.15640000000008
2014-07-30,2014,7,30,Wednesday,175.96,177.48,175.36,175.76,2345600.0,164.69,0.0012532804685840837,161.67142857142844,156.5054000000001
2014-07-31,2014,7,31,Thursday,174.44,175.27,172.79,172.87,3797600.0,161.98,-0.016442915089287524,162.21142857142846,156.82480000000007
2014-08-01,2014,8,1,Friday,172.38,172.76,169.4,170.25,3140000.0,159.53,-0.015155879736406752,162.4292857142856,157.03920000000005
2014-08-04,2014,8,4,Monday,170.57,171.89,170.05,171.69,2103900.0,160.88,0.008458078384046663,162.59785714285704,157.27140000000006
2014-08-05,2014,8,5,Tuesday,171.3,171.77,168.89,169.42,2746200.0,158.75,-0.013221401109805964,162.52785714285704,157.45520000000005
2014-08-06,2014,8,6,Wednesday,168.15,170.85,168.02,169.74,1711700.0,159.05,0.0018886208694288698,162.5007142857142,157.61480000000006
2014-08-07,2014,8,7,Thursday,170.3,171.07,168.74,169.1,1920900.0,158.45,-0.0037703132823340146,162.34214285714276,157.76300000000003
2014-08-08,2014,8,8,Friday,169.35,172.49,168.68,172.26,2250900.0,161.41,0.01868697719437651,162.37785714285704,157.97880000000004
2014-08-11,2014,8,11,Monday,172.75,173.41,171.62,172.46,2098000.0,161.6,0.0011612466177179925,162.20642857142846,158.21580000000006
2014-08-12,2014,8,12,Tuesday,171.78,173.11,171.38,172.33,1362900.0,161.48,-0.0007537837194991903,161.90642857142848,158.44640000000004
2014-08-13,2014,8,13,Wednesday,172.4,172.89,171.27,172.37,1708200.0,161.51,0.00023198484151509824,161.6457142857142,158.64440000000005
2014-08-14,2014,8,14,Thursday,172.8,173.1,171.69,172.73,1431400.0,161.85,0.002088701954257477,161.4671428571428,158.83820000000006
2014-08-15,2014,8,15,Friday,172.84,174.6,171.44,171.9,2446000.0,161.07,-0.004805248383354943,161.19571428571425,159.01280000000006
2014-08-18,2014,8,18,Monday,173.25,174.63,172.7,174.55,1877700.0,163.56,0.015415706171038046,161.1292857142857,159.16960000000006
2014-08-19,2014,8,19,Tuesday,174.91,175.1,173.63,173.96,1916100.0,163.0,-0.003379913616240793,161.0085714285714,159.31860000000006
2014-08-20,2014,8,20,Wednesday,173.27,174.18,172.6,174.03,1755100.0,163.07,0.0004023333461891099,161.08642857142854,159.46240000000006
2014-08-21,2014,8,21,Thursday,174.24,175.92,173.44,175.15,2075200.0,164.12,0.006435680344553774,161.41428571428565,159.64460000000005
2014-08-22,2014,8,22,Friday,175.35,176.98,174.83,175.47,2682000.0,164.42,0.0018271140300638589,161.6671428571428,159.82280000000003
